 Energia (KeV)            Area (m^2) 
      0.837949      12.8837
      0.851502      12.8815
      0.865274      12.8811
      0.879269      12.8849
      0.893491      12.9012
      0.907943      12.9147
      0.922628      12.9230
      0.937551      12.9304
      0.952715      12.9380
      0.968124      12.9520
      0.983783      12.9643
      0.999695      12.9749
       1.00194      12.9761
       1.00515      12.9780
       1.00838      12.9801
       1.01161      12.9823
       1.01486      12.9847
       1.01812      12.9876
       1.02138      12.9907
       1.02466      12.9941
       1.02795      12.9976
       1.03125      13.0013
       1.03456      13.0064
       1.03788      13.0121
       1.04121      13.0181
       1.04455      13.0244
       1.04790      13.0309
       1.05126      13.0368
       1.05464      13.0426
       1.05802      13.0486
       1.06142      13.0549
       1.06482      13.0614
       1.06824      13.0666
       1.07167      13.0711
       1.07511      13.0759
       1.07856      13.0810
       1.08202      13.0863
       1.08549      13.0906
       1.08897      13.0945
       1.09247      13.0985
       1.09597      13.1029
       1.09949      13.1074
       1.10302      13.1111
       1.10656      13.1144
       1.11011      13.1179
       1.11367      13.1217
       1.11724      13.1256
       1.12083      13.1288
       1.12443      13.1316
       1.12803      13.1346
       1.13165      13.1378
       1.13529      13.1413
       1.13893      13.1440
       1.14258      13.1464
       1.14625      13.1490
       1.14993      13.1518
       1.15362      13.1548
       1.15732      13.1571
       1.16103      13.1590
       1.16476      13.1611
       1.16850      13.1634
       1.17225      13.1660
       1.17601      13.1678
       1.17978      13.1693
       1.18357      13.1709
       1.18737      13.1727
       1.19118      13.1748
       1.19500      13.1761
       1.19883      13.1771
       1.20268      13.1782
       1.20654      13.1795
       1.21041      13.1810
       1.21430      13.1813
       1.21819      13.1808
       1.22210      13.1804
       1.22602      13.1802
       1.22996      13.1801
       1.23391      13.1787
       1.23786      13.1765
       1.24184      13.1743
       1.24582      13.1722
       1.24982      13.1703
       1.25383      13.1683
       1.25785      13.1664
       1.26189      13.1645
       1.26594      13.1628
       1.27000      13.1612
       1.27408      13.1594
       1.27817      13.1576
       1.28227      13.1558
       1.28638      13.1542
       1.29051      13.1527
       1.29465      13.1512
       1.29881      13.1497
       1.30297      13.1483
       1.30716      13.1471
       1.31135      13.1460
       1.31556      13.1458
       1.31978      13.1463
       1.32401      13.1470
       1.32826      13.1479
       1.33253      13.1490
       1.33680      13.1497
       1.34109      13.1501
       1.34540      13.1506
       1.34971      13.1514
       1.35404      13.1523
       1.35839      13.1524
       1.36275      13.1520
       1.36712      13.1516
       1.37151      13.1515
       1.37591      13.1515
       1.38032      13.1510
       1.38475      13.1502
       1.38920      13.1495
       1.39365      13.1489
       1.39813      13.1485
       1.40261      13.1476
       1.40711      13.1462
       1.41163      13.1449
       1.41616      13.1437
       1.42070      13.1427
       1.42526      13.1402
       1.42984      13.1360
       1.43443      13.1320
       1.43903      13.1280
       1.44365      13.1241
       1.44828      13.1203
       1.45293      13.1166
       1.45759      13.1129
       1.46227      13.1096
       1.46696      13.1065
       1.47167      13.1035
       1.47639      13.1006
       1.48113      13.0978
       1.48588      13.0980
       1.49065      13.1014
       1.49543      13.1051
       1.50023      13.1090
       1.50504      13.1132
       1.50987      13.1177
       1.51472      13.1225
       1.51958      13.1277
       1.52445      13.1332
       1.52935      13.1391
       1.53425      13.1424
       1.53918      13.1428
       1.54412      13.1433
       1.54907      13.1441
       1.55404      13.1451
       1.55903      13.1454
       1.56403      13.1447
       1.56905      13.1443
       1.57409      13.1390
       1.57914      13.1330
       1.58420      13.1272
       1.58929      13.1213
       1.59439      13.1155
       1.59951      13.1103
       1.60464      13.1053
       1.60979      13.1003
       1.61495      13.0953
       1.62014      13.0905
       1.62533      13.0856
       1.63055      13.0807
       1.63578      13.0759
       1.64103      13.0712
       1.64630      13.0674
       1.65158      13.0655
       1.65688      13.0637
       1.66220      13.0620
       1.66753      13.0606
       1.67288      13.0576
       1.67825      13.0513
       1.68364      13.0450
       1.68904      13.0388
       1.69446      13.0327
       1.69990      13.0256
       1.70535      13.0164
       1.71082      13.0072
       1.71631      12.9979
       1.72182      12.9886
       1.72735      12.9801
       1.73289      12.9733
       1.73845      12.9666
       1.74403      12.9599
       1.74963      12.9533
       1.75524      12.9461
       1.76087      12.9376
       1.76652      12.9270
       1.77219      12.9100
       1.77788      12.8929
       1.78358      12.8755
       1.78931      12.8579
