   Energia (keV)            Area (cm^2)
  0.500000000000000        1241.72177469588
  0.816053511705686        1248.52550890501
   1.13210702341137        1251.03644573413
   1.44816053511706        1249.20087233264
   1.76421404682274        1243.91890967683
   2.08026755852843        1152.00734429367
   2.39632107023411        1223.11016260905
   2.71237458193980        871.512082781455
   3.02842809364548        1129.02552563011
   3.34448160535117        1133.49915132658
   3.66053511705686        1145.63352616929
   3.97658862876254        1153.16129507113
   4.29264214046823        1159.37684565863
   4.60869565217391        1164.69637642979
   4.92474916387960        1169.22604199454
   5.24080267558529        1173.29943313048
   5.55685618729097        1176.93703716782
   5.87290969899666        1180.23194789526
   6.18896321070234        1183.20240873031
   6.50501672240803        1185.91944939337
   6.82107023411371        1188.42047982740
   7.13712374581940        1190.72852404127
   7.45317725752509        1192.88214921049
   7.76923076923077        1194.87186950755
   8.08528428093646        1196.68382611387
   8.40133779264214        1198.33851193075
   8.71739130434783        1199.81897003783
   9.03344481605352        1201.08861193399
   9.34949832775920        1202.14010580463
   9.66555183946489        1203.01347026084
   9.98160535117057        1203.65824910277
   10.2976588628763        1203.96793639438
   10.6137123745819        1203.92916470471
   10.9297658862876        1203.10002964417
   11.2458193979933        1200.67177298196
   11.5618729096990        1111.21874379369
   11.8779264214047        1040.32312280583
   12.1939799331104        1050.17022131530
   12.5100334448161        1055.06543897639
   12.8260869565217        1057.13993243610
   13.1421404682274        1045.35232282380
   13.4581939799331        971.678906319479
   13.7742474916388        954.234245895255
   14.0903010033445        942.156577179497
   14.4063545150502        948.859846101030
   14.7224080267559        947.051276736615
   15.0384615384615        937.510134038400
   15.3545150501672        934.986863109300
   15.6705685618729        940.030049135794
   15.9866220735786        945.846436191968
   16.3026755852843        951.145745075337
   16.6187290969900        955.733683298194
   16.9347826086957        959.570004004614
   17.2508361204013        962.715604091723
   17.5668896321070        965.402494885730
   17.8829431438127        967.531901847526
   18.1989966555184        969.125820291142
   18.5150501672241        970.450936407060
   18.8311036789298        971.499617984113
   19.1471571906355        972.257972598829
   19.4632107023412        972.711112855958
   19.7792642140468        972.845508157456
   20.0953177257525        972.647338899184
   20.4113712374582        972.027562785103
   20.7274247491639        971.000789137645
   21.0434782608696        969.509771004487
   21.3595317725753        967.468308698955
   21.6755852842810        964.752449248367
   21.9916387959866        961.193423174773
   22.3076923076923        956.586384887400
   22.6237458193980        950.586794920104
   22.9397993311037        942.691780445777
   23.2558528428094        932.170776105518
   23.5719063545151        917.800813817641
   23.8879598662208        898.174763504141
   24.2040133779264        873.471123878632
   24.5200668896321        847.048800031370
   24.8361204013378        825.650795869527
   25.1521739130435        814.259833516835
   25.4682274247492        810.346050403121
   25.7842809364549        810.388591811841
   26.1003344481606        812.293555267208
   26.4163879598662        814.768273635090
   26.7324414715719        817.309963885186
   27.0484949832776        819.657042685490
   27.3645484949833        821.668425984028
   27.6806020066890        823.436118382574
   27.9966555183947        824.624186138123
   28.3127090301004        825.174431514522
   28.6287625418060        824.910127323851
   28.9448160535117        823.623703282806
   29.2608695652174        821.153918217755
   29.5769230769231        817.100595175130
   29.8929765886288        811.362246540416
   30.2090301003345        803.407557452804
   30.5250836120402        794.515634011050
   30.8411371237458        780.873700695965
   31.1571906354515        761.782260209206
   31.4732441471572        741.512083979462
   31.7892976588629        722.434164071790
   32.1053511705686        707.416345550914
   32.4214046822743        697.218637073233
   32.7374581939800        689.764619153355
   33.0535117056856        682.823063754559
   33.3695652173913        674.728487417232
   33.6856187290970        664.353203261935
   34.0016722408027        651.355750972026
   34.3177257525084        636.796111676800
   34.6337792642140        622.614405383884
   34.9498327759197        611.462224495870
   35.2658862876254        604.646213435684
   35.5819397993311        601.292985852048
   35.8979933110368        599.060104565057
   36.2140468227425        596.329319166463
   36.5301003344481        591.356460261879
   36.8461538461538        583.129028161920
   37.1622073578595        571.737891174941
   37.4782608695652        559.477304206955
   37.7943143812709        549.285259620487
   38.1103678929766        543.207834174352
   38.4264214046822        539.953481982656
   38.7424749163879        537.425145634152
   39.0585284280936        534.208199161022
   39.3745819397993        529.449679886420
   39.6906354515050        522.786221470795
   40.0066889632106        514.484637083792
   40.3227424749163        505.130383779217
   40.6387959866220        496.845814822123
   40.9548494983277        491.136225666501
   41.2709030100334        488.533909960811
   41.5869565217391        487.504373645625
   41.9030100334447        486.382361703512
   42.2190635451504        482.728753635493
   42.5351170568561        474.536050436302
   42.8511705685618        466.205970615945
   43.1672240802675        463.314046433715
   43.4832775919732        464.524343637226
   43.7993311036788        466.400680907874
   44.1153846153845        464.483986685529
   44.4314381270902        456.906381342908
   44.7474916387959        450.157524345297
   45.0635451505016        448.885688534981
   45.3795986622073        449.986634136216
   45.6956521739129        449.170422421120
   46.0117056856186        443.811841204058
   46.3277591973243        437.546113858234
   46.6438127090300        434.333787578119
   46.9598662207357        432.921066426203
   47.2759197324413        431.584231775618
   47.5919732441470        429.589622086797
   47.9080267558527        425.884760130114
   48.2240802675584        422.577740644105
   48.5401337792641        423.756102239544
   48.8561872909698        427.228088670264
   49.1722408026754        427.416393532410
   49.4882943143811        424.379510230153
   49.8043478260868        426.840123301063
   50.1204013377925        431.314801258807
   50.4364548494982        430.205274309669
   50.7525083612039        425.469883664083
   51.0685618729095        426.017111464147
   51.3846153846152        426.148336695516
   51.7006688963209        421.499776802737
   52.0167224080266        417.633556294236
   52.3327759197323        415.688625128432
   52.6488294314379        412.681729768734
   52.9648829431436        408.939039766841
